, ,PLAYER,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
16,,Joel Embiid,Embiid REBOUND (Off:2 Def:5),Off,POR @ PHI,POR,PHI,"Sunday, October 29",2,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/302/19569904-e90f-12a4-69fe-4866cfb62c2f_1280x720.mp4
17,,Joel Embiid,Embiid REBOUND (Off:3 Def:5),Off,POR @ PHI,POR,PHI,"Sunday, October 29",2,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/315/a74526f4-29c6-49df-9379-c7768a173401_1280x720.mp4
18,,Joel Embiid,Embiid REBOUND (Off:4 Def:5),Off,POR @ PHI,POR,PHI,"Sunday, October 29",2,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/317/9aa87a8a-d60a-209f-ff70-3d6cafa6e1e8_1280x720.mp4
19,,Joel Embiid,Embiid REBOUND (Off:5 Def:7),Off,POR @ PHI,POR,PHI,"Sunday, October 29",3,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/464/653f685a-51d4-23ed-4b8d-09c5bbeab340_1280x720.mp4
20,,Joel Embiid,Embiid REBOUND (Off:1 Def:5),Off,TOR @ PHI,TOR,PHI,"Thursday, November 2",3,https://videos.nba.com/nba/pbp/media/2023/11/02/0022300128/398/04e02d6b-abe8-f895-d57e-150b11be715f_1280x720.mp4
21,,Joel Embiid,Embiid REBOUND (Off:2 Def:7),Off,TOR @ PHI,TOR,PHI,"Thursday, November 2",4,https://videos.nba.com/nba/pbp/media/2023/11/02/0022300128/583/7485a626-edb9-c7a9-7afa-103a896af1d7_1280x720.mp4
22,,Joel Embiid,Embiid REBOUND (Off:3 Def:8),Off,TOR @ PHI,TOR,PHI,"Thursday, November 2",4,https://videos.nba.com/nba/pbp/media/2023/11/02/0022300128/647/667e9008-e94a-d500-6c6c-fb6328a940b0_1280x720.mp4
23,,Joel Embiid,Embiid REBOUND (Off:4 Def:8),Off,TOR @ PHI,TOR,PHI,"Thursday, November 2",4,https://videos.nba.com/nba/pbp/media/2023/11/02/0022300128/652/91b3c9ca-f21c-8169-e112-ebb0a7430b94_1280x720.mp4
24,,Joel Embiid,Embiid REBOUND (Off:5 Def:8),Off,TOR @ PHI,TOR,PHI,"Thursday, November 2",4,https://videos.nba.com/nba/pbp/media/2023/11/02/0022300128/672/70f82487-ccb2-9a2a-c3ef-82f3c9c30338_1280x720.mp4
25,,Joel Embiid,Embiid REBOUND (Off:1 Def:7),Off,PHX @ PHI,PHX,PHI,"Saturday, November 4",3,https://videos.nba.com/nba/pbp/media/2023/11/04/0022300132/392/a44d05e6-ca69-f47e-ca5a-b5abe18ead4f_1280x720.mp4
26,,Joel Embiid,Embiid REBOUND (Off:2 Def:7),Off,PHX @ PHI,PHX,PHI,"Saturday, November 4",3,https://videos.nba.com/nba/pbp/media/2023/11/04/0022300132/395/551fa9cf-7272-bddf-5f2a-a2b1136aca4e_1280x720.mp4
27,,Joel Embiid,Embiid REBOUND (Off:3 Def:7),Off,PHX @ PHI,PHX,PHI,"Saturday, November 4",3,https://videos.nba.com/nba/pbp/media/2023/11/04/0022300132/424/f9cddfb4-fc03-2d21-271c-52aebf686e9d_1280x720.mp4
28,,Joel Embiid,Embiid REBOUND (Off:1 Def:1),Off,WAS @ PHI,WAS,PHI,"Monday, November 6",1,https://videos.nba.com/nba/pbp/media/2023/11/06/0022300148/53/e8be7521-0c0a-8d8c-974e-ef2266ec76df_1280x720.mp4
29,,Joel Embiid,Embiid REBOUND (Off:2 Def:6),Off,WAS @ PHI,WAS,PHI,"Monday, November 6",2,https://videos.nba.com/nba/pbp/media/2023/11/06/0022300148/269/5152dcf2-1c6a-cb0c-c8c7-712228c92c57_1280x720.mp4
30,,Joel Embiid,Embiid REBOUND (Off:1 Def:2),Off,BOS @ PHI,BOS,PHI,"Wednesday, November 8",1,https://videos.nba.com/nba/pbp/media/2023/11/08/0022300159/112/a64f3c8d-7c64-a0ce-3750-ead7e742f01c_1280x720.mp4
31,,Joel Embiid,Embiid REBOUND (Off:2 Def:0),Off,IND @ PHI,IND,PHI,"Sunday, November 12",1,https://videos.nba.com/nba/pbp/media/2023/11/12/0022300180/28/e198ae4d-5f45-f55a-79c9-777e7585e91f_1280x720.mp4
32,,Joel Embiid,Embiid REBOUND (Off:2 Def:0),Off,IND @ PHI,IND,PHI,"Sunday, November 12",1,https://videos.nba.com/nba/pbp/media/2023/11/12/0022300180/30/6af3ea18-4ba2-89db-8125-e46440534cd0_1280x720.mp4
33,,Joel Embiid,Embiid REBOUND (Off:3 Def:1),Off,IND @ PHI,IND,PHI,"Sunday, November 12",1,https://videos.nba.com/nba/pbp/media/2023/11/12/0022300180/87/7e485328-cc14-6291-e7fa-e84b6922d89b_1280x720.mp4
34,,Joel Embiid,Embiid REBOUND (Off:4 Def:3),Off,IND @ PHI,IND,PHI,"Sunday, November 12",2,https://videos.nba.com/nba/pbp/media/2023/11/12/0022300180/325/9fb9af0a-ffe1-bd60-85e0-022e1c875f44_1280x720.mp4
35,,Joel Embiid,Embiid REBOUND (Off:5 Def:3),Off,IND @ PHI,IND,PHI,"Sunday, November 12",3,https://videos.nba.com/nba/pbp/media/2023/11/12/0022300180/350/a470e506-c3fe-3db0-65fe-584952a77bd1_1280x720.mp4
36,,Joel Embiid,Embiid REBOUND (Off:6 Def:3),Off,IND @ PHI,IND,PHI,"Sunday, November 12",3,https://videos.nba.com/nba/pbp/media/2023/11/12/0022300180/359/aed8aa18-0dbf-10f1-4f6e-8eb9348b92c9_1280x720.mp4
37,,Joel Embiid,Embiid REBOUND (Off:7 Def:5),Off,IND @ PHI,IND,PHI,"Sunday, November 12",4,https://videos.nba.com/nba/pbp/media/2023/11/12/0022300180/626/f75be56e-c15c-2d55-1988-82c0c3574c8f_1280x720.mp4
38,,Joel Embiid,Embiid REBOUND (Off:8 Def:5),Off,IND @ PHI,IND,PHI,"Sunday, November 12",4,https://videos.nba.com/nba/pbp/media/2023/11/12/0022300180/634/da5740d7-a8a8-d76e-3175-584b92fb3498_1280x720.mp4
39,,Joel Embiid,Embiid REBOUND (Off:1 Def:2),Off,BOS @ PHI,BOS,PHI,"Wednesday, November 15",1,https://videos.nba.com/nba/pbp/media/2023/11/15/0022300194/123/3640b298-fdab-c307-b75d-459fd1a30b5f_1280x720.mp4
40,,Joel Embiid,Embiid REBOUND (Off:2 Def:4),Off,BOS @ PHI,BOS,PHI,"Wednesday, November 15",3,https://videos.nba.com/nba/pbp/media/2023/11/15/0022300194/312/ca749dbc-faeb-c096-20bb-b013a19cc647_1280x720.mp4
41,,Joel Embiid,Embiid REBOUND (Off:3 Def:6),Off,BOS @ PHI,BOS,PHI,"Wednesday, November 15",4,https://videos.nba.com/nba/pbp/media/2023/11/15/0022300194/586/e7c4472b-f509-da4c-48f2-d8a455bf9c9d_1280x720.mp4
42,,Joel Embiid,Embiid REBOUND (Off:1 Def:5),Off,PHI @ BKN,PHI,BKN,"Sunday, November 19",2,https://videos.nba.com/nba/pbp/media/2023/11/19/0022300208/262/4564ebc4-f6f0-ac46-4920-26c2de138720_1280x720.mp4
43,,Joel Embiid,Embiid REBOUND (Off:2 Def:7),Off,PHI @ BKN,PHI,BKN,"Sunday, November 19",3,https://videos.nba.com/nba/pbp/media/2023/11/19/0022300208/321/1b5b71b7-5ae3-06f8-2ba5-c8aa3db2fefb_1280x720.mp4
44,,Joel Embiid,Embiid REBOUND (Off:1 Def:2),Off,PHI @ OKC,PHI,OKC,"Saturday, November 25",1,https://videos.nba.com/nba/pbp/media/2023/11/25/0022300239/103/b2957b31-bd33-8bca-7231-b4ef685e14fd_1280x720.mp4
45,,Joel Embiid,Embiid REBOUND (Off:2 Def:3),Off,PHI @ OKC,PHI,OKC,"Saturday, November 25",2,https://videos.nba.com/nba/pbp/media/2023/11/25/0022300239/282/cc9597ae-b16a-0cbb-af68-437e1ee5abe9_1280x720.mp4
46,,Joel Embiid,Embiid REBOUND (Off:3 Def:3),Off,PHI @ OKC,PHI,OKC,"Saturday, November 25",3,https://videos.nba.com/nba/pbp/media/2023/11/25/0022300239/414/33c8145c-b58a-e311-520e-7fc5810dc7a5_1280x720.mp4
47,,Joel Embiid,Embiid REBOUND (Off:4 Def:4),Off,PHI @ OKC,PHI,OKC,"Saturday, November 25",3,https://videos.nba.com/nba/pbp/media/2023/11/25/0022300239/438/7a3b3692-33b6-c4af-d83a-c80c1f1da3f9_1280x720.mp4
48,,Joel Embiid,Embiid REBOUND (Off:1 Def:1),Off,LAL @ PHI,LAL,PHI,"Monday, November 27",1,https://videos.nba.com/nba/pbp/media/2023/11/27/0022300255/106/8a368d3e-9596-9228-d6e5-66fc93ea7dc1_1280x720.mp4
49,,Joel Embiid,Embiid REBOUND (Off:2 Def:1),Off,LAL @ PHI,LAL,PHI,"Monday, November 27",1,https://videos.nba.com/nba/pbp/media/2023/11/27/0022300255/133/5f4d35a5-3c46-0749-c6b6-d6d631b0368f_1280x720.mp4
50,,Joel Embiid,Embiid REBOUND (Off:3 Def:2),Off,LAL @ PHI,LAL,PHI,"Monday, November 27",3,https://videos.nba.com/nba/pbp/media/2023/11/27/0022300255/315/b847fa9e-b694-b08d-c9c5-e1338583a3ce_1280x720.mp4
51,,Joel Embiid,Embiid REBOUND (Off:4 Def:5),Off,LAL @ PHI,LAL,PHI,"Monday, November 27",3,https://videos.nba.com/nba/pbp/media/2023/11/27/0022300255/407/4b846684-977e-1a6f-9e57-f970daea85a1_1280x720.mp4
52,,Joel Embiid,Embiid REBOUND (Off:1 Def:0),Off,PHI @ DET,PHI,DET,"Wednesday, December 13",1,https://videos.nba.com/nba/pbp/media/2023/12/13/0022300310/18/588491ff-6a93-fd31-ee1d-ba77c033108c_1280x720.mp4
53,,Joel Embiid,Embiid REBOUND (Off:2 Def:2),Off,PHI @ DET,PHI,DET,"Wednesday, December 13",1,https://videos.nba.com/nba/pbp/media/2023/12/13/0022300310/108/dea7cf8c-a56d-0cd3-66fb-b4ea32ac7667_1280x720.mp4
54,,Joel Embiid,Embiid REBOUND (Off:3 Def:5),Off,PHI @ DET,PHI,DET,"Wednesday, December 13",1,https://videos.nba.com/nba/pbp/media/2023/12/13/0022300310/173/82748a1e-7f34-8901-6723-356c487f20be_1280x720.mp4
55,,Joel Embiid,Embiid REBOUND (Off:4 Def:6),Off,PHI @ DET,PHI,DET,"Wednesday, December 13",2,https://videos.nba.com/nba/pbp/media/2023/12/13/0022300310/333/1d275765-5641-da47-e50c-b6f1889a05b6_1280x720.mp4
56,,Joel Embiid,Embiid REBOUND (Off:1 Def:4),Off,CHI @ PHI,CHI,PHI,"Monday, December 18",2,https://videos.nba.com/nba/pbp/media/2023/12/18/0022300351/217/43275b40-4c8d-089b-2b4e-ad9a4698ae51_1280x720.mp4
57,,Joel Embiid,Embiid REBOUND (Off:1 Def:1),Off,MIN @ PHI,MIN,PHI,"Wednesday, December 20",1,https://videos.nba.com/nba/pbp/media/2023/12/20/0022300367/51/32ba9401-60a9-27e1-b6ab-a3e4c55bd663_1280x720.mp4
58,,Joel Embiid,Embiid REBOUND (Off:2 Def:6),Off,MIN @ PHI,MIN,PHI,"Wednesday, December 20",3,https://videos.nba.com/nba/pbp/media/2023/12/20/0022300367/395/cc1d94f6-5c6d-7e69-2f05-4e718a972098_1280x720.mp4
59,,Joel Embiid,Embiid REBOUND (Off:1 Def:3),Off,TOR @ PHI,TOR,PHI,"Friday, December 22",3,https://videos.nba.com/nba/pbp/media/2023/12/22/0022300382/339/5d6b90dd-a9b5-9d92-77be-0bcf0cf913ae_1280x720.mp4
60,,Joel Embiid,Embiid REBOUND (Off:1 Def:0),Off,NYK @ PHI,NYK,PHI,"Friday, January 5",1,https://videos.nba.com/nba/pbp/media/2024/01/05/0022300483/36/cad256f8-5f30-4355-bf7c-37134b36cfee_1280x720.mp4
61,,Joel Embiid,Embiid REBOUND (Off:2 Def:3),Off,NYK @ PHI,NYK,PHI,"Friday, January 5",3,https://videos.nba.com/nba/pbp/media/2024/01/05/0022300483/346/f91e6e20-1c58-6848-c7e8-d5401204ecf2_1280x720.mp4
62,,Joel Embiid,Embiid REBOUND (Off:3 Def:6),Off,NYK @ PHI,NYK,PHI,"Friday, January 5",3,https://videos.nba.com/nba/pbp/media/2024/01/05/0022300483/452/4382226d-265d-498f-35e7-90dd33934e5e_1280x720.mp4
63,,Joel Embiid,Embiid REBOUND (Off:1 Def:6),Off,HOU @ PHI,HOU,PHI,"Monday, January 15",3,https://videos.nba.com/nba/pbp/media/2024/01/15/0022300555/426/e034876b-09f2-851a-cde3-c3723fb49c86_1280x720.mp4
64,,Joel Embiid,Embiid REBOUND (Off:2 Def:6),Off,HOU @ PHI,HOU,PHI,"Monday, January 15",3,https://videos.nba.com/nba/pbp/media/2024/01/15/0022300555/428/1f01b2ff-898f-f0bc-47c6-477bdae237e6_1280x720.mp4
65,,Joel Embiid,Embiid REBOUND (Off:1 Def:0),Off,DEN @ PHI,DEN,PHI,"Tuesday, January 16",1,https://videos.nba.com/nba/pbp/media/2024/01/16/0022300566/12/ac6013e0-6f98-158c-fa8a-1562b439a8f8_1280x720.mp4
66,,Joel Embiid,Embiid REBOUND (Off:1 Def:1),Off,PHI @ ORL,PHI,ORL,"Friday, January 19",1,https://videos.nba.com/nba/pbp/media/2024/01/19/0022300585/19/4c151db3-f694-1df3-ae3e-7988e0c99b1b_1280x720.mp4
67,,Joel Embiid,Embiid REBOUND (Off:1 Def:6),Off,PHI @ CHA,PHI,CHA,"Saturday, January 20",3,https://videos.nba.com/nba/pbp/media/2024/01/20/0022300593/437/37c0ba7e-b772-c39c-3795-a8ba137cf5fe_1280x720.mp4
68,,Joel Embiid,Embiid REBOUND (Off:1 Def:1),Off,SAS @ PHI,SAS,PHI,"Monday, January 22",1,https://videos.nba.com/nba/pbp/media/2024/01/22/0022300608/97/2a32ca1d-bd0e-9ac5-178e-8dec05c09bca_1280x720.mp4
69,,Joel Embiid,Embiid REBOUND (Off:2 Def:1),Off,SAS @ PHI,SAS,PHI,"Monday, January 22",1,https://videos.nba.com/nba/pbp/media/2024/01/22/0022300608/99/02d55593-31c7-8ea5-0312-147a4e609dab_1280x720.mp4
70,,Joel Embiid,Embiid REBOUND (Off:3 Def:2),Off,SAS @ PHI,SAS,PHI,"Monday, January 22",1,https://videos.nba.com/nba/pbp/media/2024/01/22/0022300608/134/6d5f73bb-0c86-318a-9b72-23bb11cf9bc0_1280x720.mp4
71,,Joel Embiid,Embiid REBOUND (Off:4 Def:2),Off,SAS @ PHI,SAS,PHI,"Monday, January 22",1,https://videos.nba.com/nba/pbp/media/2024/01/22/0022300608/142/a1e6b713-61d5-b0c6-0a0a-fa8376488772_1280x720.mp4
72,,Joel Embiid,Embiid REBOUND (Off:5 Def:4),Off,SAS @ PHI,SAS,PHI,"Monday, January 22",2,https://videos.nba.com/nba/pbp/media/2024/01/22/0022300608/314/bae48cea-9b38-ff89-f7a7-2ef5a1dab074_1280x720.mp4
73,,Joel Embiid,Embiid REBOUND (Off:6 Def:4),Off,SAS @ PHI,SAS,PHI,"Monday, January 22",2,https://videos.nba.com/nba/pbp/media/2024/01/22/0022300608/316/81d09ca6-21ce-92b0-79c0-fa2a88b612ac_1280x720.mp4
74,,Joel Embiid,Embiid REBOUND (Off:7 Def:4),Off,SAS @ PHI,SAS,PHI,"Monday, January 22",3,https://videos.nba.com/nba/pbp/media/2024/01/22/0022300608/353/f1a4003f-4454-3652-3674-d7ba4c6fcecc_1280x720.mp4
75,,Joel Embiid,Embiid REBOUND (Off:8 Def:4),Off,SAS @ PHI,SAS,PHI,"Monday, January 22",3,https://videos.nba.com/nba/pbp/media/2024/01/22/0022300608/378/5b6e67ad-da71-ffe8-76f8-dffbdb31d1e4_1280x720.mp4
76,,Joel Embiid,Embiid REBOUND (Off:9 Def:4),Off,SAS @ PHI,SAS,PHI,"Monday, January 22",3,https://videos.nba.com/nba/pbp/media/2024/01/22/0022300608/380/f9c71a41-f462-2c72-6d1e-308d890843e4_1280x720.mp4
77,,Joel Embiid,Embiid REBOUND (Off:1 Def:5),Off,PHI @ IND,PHI,IND,"Thursday, January 25",3,https://videos.nba.com/nba/pbp/media/2024/01/25/0022300627/433/8023c6c0-eda9-965b-a1cf-5987252ec2a1_1280x720.mp4
78,,Joel Embiid,Embiid REBOUND (Off:1 Def:0),Off,PHI @ GSW,PHI,GSW,"Tuesday, January 30",1,https://videos.nba.com/nba/pbp/media/2024/01/30/0022300673/44/7c7bc932-db88-6fae-2398-fab298761ca4_1280x720.mp4
79,,Joel Embiid,Embiid REBOUND (Off:1 Def:5),Off,OKC @ PHI,OKC,PHI,"Tuesday, April 2",4,https://videos.nba.com/nba/pbp/media/2024/04/02/0022301093/686/4cfde3db-0bb5-d93f-6c58-457d1e0c0bee_1280x720.mp4
80,,Joel Embiid,Embiid REBOUND (Off:1 Def:6),Off,PHI @ MEM,PHI,MEM,"Saturday, April 6",2,https://videos.nba.com/nba/pbp/media/2024/04/06/0022301129/193/67029cf2-64a4-3075-2fa6-e539eb283286_1280x720.mp4
81,,Joel Embiid,Embiid REBOUND (Off:2 Def:9),Off,PHI @ MEM,PHI,MEM,"Saturday, April 6",3,https://videos.nba.com/nba/pbp/media/2024/04/06/0022301129/342/76bcb42a-88db-e35c-575e-a0807ab4080c_1280x720.mp4
82,,Joel Embiid,Embiid REBOUND (Off:3 Def:9),Off,PHI @ MEM,PHI,MEM,"Saturday, April 6",3,https://videos.nba.com/nba/pbp/media/2024/04/06/0022301129/344/0b1c35bb-d3cd-957d-6311-cd7acb14f620_1280x720.mp4
83,,Joel Embiid,Embiid REBOUND (Off:1 Def:1),Off,DET @ PHI,DET,PHI,"Tuesday, April 9",1,https://videos.nba.com/nba/pbp/media/2024/04/09/0022301145/98/4efcf564-a497-1b2d-6716-241fd79d395e_1280x720.mp4
84,,Joel Embiid,Embiid REBOUND (Off:2 Def:4),Off,DET @ PHI,DET,PHI,"Tuesday, April 9",3,https://videos.nba.com/nba/pbp/media/2024/04/09/0022301145/402/c441f888-619a-bac1-47ff-3ed7c35750f2_1280x720.mp4
85,,Joel Embiid,Embiid REBOUND (Off:1 Def:0),Off,PHI @ WAS,PHI,WAS,"Wednesday, December 6",1,https://videos.nba.com/nba/pbp/media/2023/12/06/0022301208/56/178909ec-268c-7379-751c-41c06bb51e96_1280x720.mp4
86,,Joel Embiid,Embiid REBOUND (Off:2 Def:0),Off,PHI @ WAS,PHI,WAS,"Wednesday, December 6",1,https://videos.nba.com/nba/pbp/media/2023/12/06/0022301208/94/8b561d3b-60b3-756c-8182-27233a046c68_1280x720.mp4
87,,Joel Embiid,Embiid REBOUND (Off:3 Def:6),Off,PHI @ WAS,PHI,WAS,"Wednesday, December 6",3,https://videos.nba.com/nba/pbp/media/2023/12/06/0022301208/351/e1f55a40-71e1-d4bc-fd8b-3e85eb90e1d7_1280x720.mp4
88,,Joel Embiid,Embiid REBOUND (Off:4 Def:6),Off,PHI @ WAS,PHI,WAS,"Wednesday, December 6",3,https://videos.nba.com/nba/pbp/media/2023/12/06/0022301208/373/5c9247f1-bb01-40c6-5ade-b003b029b07b_1280x720.mp4
89,,Joel Embiid,Embiid REBOUND (Off:5 Def:6),Off,PHI @ WAS,PHI,WAS,"Wednesday, December 6",3,https://videos.nba.com/nba/pbp/media/2023/12/06/0022301208/404/cffc50f4-22bd-523b-6efe-0055ea4e1f68_1280x720.mp4
90,,Joel Embiid,Embiid REBOUND (Off:6 Def:7),Off,PHI @ WAS,PHI,WAS,"Wednesday, December 6",4,https://videos.nba.com/nba/pbp/media/2023/12/06/0022301208/665/e91e336c-48ee-e9d5-2fb7-c8ede24747d3_1280x720.mp4
91,,Joel Embiid,Embiid REBOUND (Off:1 Def:1),Off,ATL @ PHI,ATL,PHI,"Friday, December 8",1,https://videos.nba.com/nba/pbp/media/2023/12/08/0022301218/37/1691ce40-379e-1976-7732-7afb3218bd3b_1280x720.mp4
92,,Joel Embiid,Embiid REBOUND (Off:2 Def:1),Off,ATL @ PHI,ATL,PHI,"Friday, December 8",1,https://videos.nba.com/nba/pbp/media/2023/12/08/0022301218/77/924ddf90-9322-b669-376f-d4486ad7b3f4_1280x720.mp4
93,,Joel Embiid,Embiid REBOUND (Off:4 Def:2),Off,ATL @ PHI,ATL,PHI,"Friday, December 8",1,https://videos.nba.com/nba/pbp/media/2023/12/08/0022301218/114/7c9793ee-8118-3aa6-cc1e-d88c262ec6f1_1280x720.mp4
0,,Luka Dončić,Doncic REBOUND (Off:1 Def:1),Off,DAL @ DEN,DAL,DEN,"Friday, November 3",2,https://videos.nba.com/nba/pbp/media/2023/11/03/0022300006/191/6517e337-f544-cbc7-9da2-4ca800330daa_1280x720.mp4
1,,Luka Dončić,Doncic REBOUND (Off:2 Def:4),Off,DAL @ DEN,DAL,DEN,"Friday, November 3",3,https://videos.nba.com/nba/pbp/media/2023/11/03/0022300006/391/8093b69b-9026-4013-71c7-05d8579fe7db_1280x720.mp4
2,,Luka Dončić,Doncic REBOUND (Off:3 Def:6),Off,DAL @ DEN,DAL,DEN,"Friday, November 3",3,https://videos.nba.com/nba/static/missing.mp4
3,,Luka Dončić,Doncic REBOUND (Off:1 Def:1),Off,DAL @ NOP,DAL,NOP,"Tuesday, November 14",2,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300022/250/24ed111c-ac61-f3d7-8158-96e48e8a1ec2_1280x720.mp4
4,,Luka Dončić,Doncic REBOUND (Off:1 Def:1),Off,DAL @ SAS,DAL,SAS,"Wednesday, October 25",1,https://videos.nba.com/nba/pbp/media/2023/10/25/0022300073/62/61f301a7-9e1c-cc9d-b1c2-093a6e53344a_1280x720.mp4
5,,Luka Dončić,Doncic REBOUND (Off:1 Def:1),Off,BKN @ DAL,BKN,DAL,"Friday, October 27",2,https://videos.nba.com/nba/pbp/media/2023/10/27/0022300084/185/14b04f64-ddf5-56ef-6752-fcec510d7613_1280x720.mp4
6,,Luka Dončić,Doncic REBOUND (Off:1 Def:10),Off,CHA @ DAL,CHA,DAL,"Sunday, November 5",4,https://videos.nba.com/nba/pbp/media/2023/11/05/0022300143/578/031886d2-90d1-a491-f3d0-5a60ed4e7124_1280x720.mp4
7,,Luka Dončić,Doncic REBOUND (Off:1 Def:4),Off,DAL @ WAS,DAL,WAS,"Wednesday, November 15",3,https://videos.nba.com/nba/pbp/media/2023/11/15/0022300192/429/2f215f10-91f0-ddb1-b6ca-7f72f42f6803_1280x720.mp4
8,,Luka Dončić,Doncic REBOUND (Off:1 Def:4),Off,DAL @ MIL,DAL,MIL,"Saturday, November 18",3,https://videos.nba.com/nba/pbp/media/2023/11/18/0022300205/329/73bf1e82-036e-15fb-4a7b-a73e1d25cd61_1280x720.mp4
9,,Luka Dončić,Doncic REBOUND (Off:1 Def:5),Off,SAC @ DAL,SAC,DAL,"Sunday, November 19",2,https://videos.nba.com/nba/pbp/media/2023/11/19/0022300212/348/4905d6c7-232e-027c-2e96-781aff89d62a_1280x720.mp4
10,,Luka Dončić,Doncic REBOUND (Off:1 Def:1),Off,OKC @ DAL,OKC,DAL,"Saturday, December 2",1,https://videos.nba.com/nba/pbp/media/2023/12/02/0022300287/22/6218ea97-d6b9-59a8-5d71-e20ce8b8bb57_1280x720.mp4
11,,Luka Dončić,Doncic REBOUND (Off:2 Def:3),Off,OKC @ DAL,OKC,DAL,"Saturday, December 2",1,https://videos.nba.com/nba/pbp/media/2023/12/02/0022300287/109/1c518f69-3165-9739-e845-38faf9090dbb_1280x720.mp4
