, ,PLAYER,PLAY DESCRIPTION,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
22,,Joel Embiid,Embiid BLOCK (4 BLK),BOS @ PHI,BOS,PHI,"Wednesday, November 8",3,https://videos.nba.com/nba/pbp/media/2023/11/08/0022300159/478/50aababb-34a3-bfdf-53b6-d1375075c3eb_1280x720.mp4
23,,Joel Embiid,Embiid BLOCK (1 BLK),IND @ PHI,IND,PHI,"Sunday, November 12",2,https://videos.nba.com/nba/pbp/media/2023/11/12/0022300180/303/ac87f467-6bf7-9fee-7470-0ae7b018ad02_1280x720.mp4
24,,Joel Embiid,MISS Finney-Smith 3' Driving Layup,PHI @ BKN,PHI,BKN,"Sunday, November 19",3,https://videos.nba.com/nba/pbp/media/2023/11/19/0022300208/355/0f3ba605-2317-0366-dd4c-4dbc77017d8c_1280x720.mp4
25,,Joel Embiid,MISS Holmgren 4' Driving Layup,PHI @ OKC,PHI,OKC,"Saturday, November 25",1,https://videos.nba.com/nba/pbp/media/2023/11/25/0022300239/16/d5243287-43e8-aa29-35da-c0ff0ba376b8_1280x720.mp4
26,,Joel Embiid,MISS Gilgeous-Alexander 4' Driving Layup,PHI @ OKC,PHI,OKC,"Saturday, November 25",1,https://videos.nba.com/nba/pbp/media/2023/11/25/0022300239/93/342de889-4677-06f3-9b5b-e034b2a42b33_1280x720.mp4
27,,Joel Embiid,MISS J. Williams 2' Driving Layup,PHI @ OKC,PHI,OKC,"Saturday, November 25",2,https://videos.nba.com/nba/pbp/media/2023/11/25/0022300239/278/9e7a972e-7767-c341-fe16-fbd192989a98_1280x720.mp4
28,,Joel Embiid,MISS Gilgeous-Alexander 3' Driving Layup,PHI @ OKC,PHI,OKC,"Saturday, November 25",4,https://videos.nba.com/nba/pbp/media/2023/11/25/0022300239/703/f0e5a803-ebbd-b901-7a78-63f2276ed34b_1280x720.mp4
29,,Joel Embiid,Embiid BLOCK (1 BLK),LAL @ PHI,LAL,PHI,"Monday, November 27",2,https://videos.nba.com/nba/pbp/media/2023/11/27/0022300255/247/316caeba-c063-53d5-ff13-af6036133ebf_1280x720.mp4
30,,Joel Embiid,Embiid BLOCK (1 BLK),WAS @ PHI,WAS,PHI,"Monday, December 11",3,https://videos.nba.com/nba/pbp/media/2023/12/11/0022300295/346/39485e35-5d1a-65fe-e4a9-bd4af94203f9_1280x720.mp4
31,,Joel Embiid,Embiid BLOCK (1 BLK),DET @ PHI,DET,PHI,"Friday, December 15",1,https://videos.nba.com/nba/pbp/media/2023/12/15/0022300327/124/b49fc7c4-4e43-c9df-7af3-9bf68909af96_1280x720.mp4
32,,Joel Embiid,Embiid BLOCK (2 BLK),DET @ PHI,DET,PHI,"Friday, December 15",2,https://videos.nba.com/nba/pbp/media/2023/12/15/0022300327/307/ba0261c3-2240-bb27-da27-a26f0dcccd7b_1280x720.mp4
33,,Joel Embiid,Embiid BLOCK (3 BLK),DET @ PHI,DET,PHI,"Friday, December 15",3,https://videos.nba.com/nba/pbp/media/2023/12/15/0022300327/402/6b8f79c9-4d2a-8003-dc0b-ab0beba74b34_1280x720.mp4
34,,Joel Embiid,Embiid BLOCK (4 BLK),DET @ PHI,DET,PHI,"Friday, December 15",3,https://videos.nba.com/nba/pbp/media/2023/12/15/0022300327/524/b76209c9-8dcf-86fb-de48-db12589f47a8_1280x720.mp4
35,,Joel Embiid,MISS McGowens 2' Driving Reverse Layup,PHI @ CHA,PHI,CHA,"Saturday, December 16",1,https://videos.nba.com/nba/pbp/media/2023/12/16/0022300335/51/0e9f680e-8347-5bf0-6653-a6e228d5b61c_1280x720.mp4
36,,Joel Embiid,MISS McGowens 1' Driving Layup,PHI @ CHA,PHI,CHA,"Saturday, December 16",2,https://videos.nba.com/nba/pbp/media/2023/12/16/0022300335/291/6579fc0f-b65c-8c0f-f121-559c1c8edf1d_1280x720.mp4
37,,Joel Embiid,Embiid BLOCK (1 BLK),CHI @ PHI,CHI,PHI,"Monday, December 18",1,https://videos.nba.com/nba/pbp/media/2023/12/18/0022300351/13/254c2588-e8ea-4d94-d04a-e8e2628a416a_1280x720.mp4
38,,Joel Embiid,Embiid BLOCK (2 BLK),CHI @ PHI,CHI,PHI,"Monday, December 18",3,https://videos.nba.com/nba/pbp/media/2023/12/18/0022300351/321/21c66e61-27e1-7665-ec32-f909ea5300f1_1280x720.mp4
39,,Joel Embiid,Embiid BLOCK (1 BLK),MIN @ PHI,MIN,PHI,"Wednesday, December 20",1,https://videos.nba.com/nba/pbp/media/2023/12/20/0022300367/74/f817ffc3-afad-c641-0c0e-8d0ddb816041_1280x720.mp4
40,,Joel Embiid,Embiid BLOCK (1 BLK),TOR @ PHI,TOR,PHI,"Friday, December 22",1,https://videos.nba.com/nba/pbp/media/2023/12/22/0022300382/31/4451b368-7bd6-315b-0075-e396776a06b4_1280x720.mp4
41,,Joel Embiid,Embiid BLOCK (2 BLK),TOR @ PHI,TOR,PHI,"Friday, December 22",2,https://videos.nba.com/nba/pbp/media/2023/12/22/0022300382/304/5228a794-9d3f-f9e9-f00b-f4768cd2f4a3_1280x720.mp4
42,,Joel Embiid,Embiid BLOCK (3 BLK),TOR @ PHI,TOR,PHI,"Friday, December 22",2,https://videos.nba.com/nba/pbp/media/2023/12/22/0022300382/317/a8ac1ebe-f987-2f2f-5dac-20a28e44b0c1_1280x720.mp4
43,,Joel Embiid,Embiid BLOCK (4 BLK),TOR @ PHI,TOR,PHI,"Friday, December 22",3,https://videos.nba.com/nba/pbp/media/2023/12/22/0022300382/512/9545f971-ce16-6e4e-8c52-5247c32566dd_1280x720.mp4
44,,Joel Embiid,Embiid BLOCK (1 BLK),CHI @ PHI,CHI,PHI,"Tuesday, January 2",1,https://videos.nba.com/nba/pbp/media/2024/01/02/0022300459/7/435c83f7-58a7-0c11-32a7-80fa2ed61c26_1280x720.mp4
45,,Joel Embiid,Embiid BLOCK (2 BLK),CHI @ PHI,CHI,PHI,"Tuesday, January 2",3,https://videos.nba.com/nba/pbp/media/2024/01/02/0022300459/480/f5680b87-7525-4449-2076-eb143137b838_1280x720.mp4
46,,Joel Embiid,Embiid BLOCK (1 BLK),NYK @ PHI,NYK,PHI,"Friday, January 5",2,https://videos.nba.com/nba/pbp/media/2024/01/05/0022300483/296/5b5c3df4-f87a-6a35-002b-96c01b84bf59_1280x720.mp4
47,,Joel Embiid,Embiid BLOCK (2 BLK),NYK @ PHI,NYK,PHI,"Friday, January 5",3,https://videos.nba.com/nba/pbp/media/2024/01/05/0022300483/465/289b3ab8-91b3-b88c-fa6a-324da099bafa_1280x720.mp4
48,,Joel Embiid,Embiid BLOCK (3 BLK),NYK @ PHI,NYK,PHI,"Friday, January 5",4,https://videos.nba.com/nba/pbp/media/2024/01/05/0022300483/560/c43208a8-36cc-f49c-69bc-dfc37d2ba0b6_1280x720.mp4
49,,Joel Embiid,Embiid BLOCK (1 BLK),HOU @ PHI,HOU,PHI,"Monday, January 15",1,https://videos.nba.com/nba/pbp/media/2024/01/15/0022300555/95/a088cb53-b089-72fa-2a7a-575a8454040c_1280x720.mp4
50,,Joel Embiid,Embiid BLOCK (1 BLK),DEN @ PHI,DEN,PHI,"Tuesday, January 16",2,https://videos.nba.com/nba/pbp/media/2024/01/16/0022300566/314/c1eb284a-87d3-f832-6bbc-097e7d0268ff_1280x720.mp4
51,,Joel Embiid,MISS Bridges 2' Driving Layup,PHI @ CHA,PHI,CHA,"Saturday, January 20",1,https://videos.nba.com/nba/pbp/media/2024/01/20/0022300593/17/2a453e1a-f8e8-13e3-647f-ce95391c8827_1280x720.mp4
52,,Joel Embiid,MISS Washington 3' Running Dunk,PHI @ CHA,PHI,CHA,"Saturday, January 20",1,https://videos.nba.com/nba/pbp/media/2024/01/20/0022300593/42/b492411c-4f8f-d86d-b345-1cd9985ad773_1280x720.mp4
53,,Joel Embiid,MISS Smith 3' Driving Layup,PHI @ CHA,PHI,CHA,"Saturday, January 20",4,https://videos.nba.com/nba/pbp/media/2024/01/20/0022300593/544/4c12c243-3690-f8df-5bee-96d2e62fee4b_1280x720.mp4
54,,Joel Embiid,Embiid BLOCK (1 BLK),SAS @ PHI,SAS,PHI,"Monday, January 22",2,https://videos.nba.com/nba/pbp/media/2024/01/22/0022300608/303/058ff826-8319-61de-12c3-40c82ac953db_1280x720.mp4
55,,Joel Embiid,MISS Rozier 3' Driving Layup,PHI @ MIA,PHI,MIA,"Thursday, April 4",1,https://videos.nba.com/nba/pbp/media/2024/04/04/0022301111/21/adf0f7ae-dcd4-8e8d-c11c-c0a875d78e90_1280x720.mp4
56,,Joel Embiid,MISS Jemison 2' Cutting Dunk Shot,PHI @ MEM,PHI,MEM,"Saturday, April 6",2,https://videos.nba.com/nba/pbp/media/2024/04/06/0022301129/169/4afde0e4-9935-8bc2-0018-90ea061bef3e_1280x720.mp4
57,,Joel Embiid,MISS Pereira Driving Dunk,PHI @ MEM,PHI,MEM,"Saturday, April 6",3,https://videos.nba.com/nba/pbp/media/2024/04/06/0022301129/346/8eb9ff0b-1e3f-d6a3-0734-506d211206a6_1280x720.mp4
58,,Joel Embiid,Embiid BLOCK (1 BLK),DET @ PHI,DET,PHI,"Tuesday, April 9",4,https://videos.nba.com/nba/pbp/media/2024/04/09/0022301145/541/0154257c-99b7-22d1-6c90-e66828256aa5_1280x720.mp4
59,,Joel Embiid,Embiid BLOCK (2 BLK),DET @ PHI,DET,PHI,"Tuesday, April 9",4,https://videos.nba.com/nba/pbp/media/2024/04/09/0022301145/581/0b1b105b-9774-84ca-c2fe-b51643ce2fe7_1280x720.mp4
60,,Joel Embiid,Embiid BLOCK (1 BLK),ORL @ PHI,ORL,PHI,"Friday, April 12",3,https://videos.nba.com/nba/pbp/media/2024/04/12/0022301171/458/f8d13f5a-0087-c4c5-c5dc-d1fadcd2de30_1280x720.mp4
61,,Joel Embiid,MISS Kuzma 5' Driving Layup,PHI @ WAS,PHI,WAS,"Wednesday, December 6",2,https://videos.nba.com/nba/pbp/media/2023/12/06/0022301208/258/d00266cc-1198-8046-c538-f63f033d3d32_1280x720.mp4
62,,Joel Embiid,Embiid BLOCK (1 BLK),ATL @ PHI,ATL,PHI,"Friday, December 8",1,https://videos.nba.com/nba/pbp/media/2023/12/08/0022301218/45/8c9bc315-53fa-6457-c926-39d11240e661_1280x720.mp4
63,,Joel Embiid,Embiid BLOCK (2 BLK),ATL @ PHI,ATL,PHI,"Friday, December 8",3,https://videos.nba.com/nba/pbp/media/2023/12/08/0022301218/357/5b3ce5aa-4dd6-78ea-885d-a3d749d01a1e_1280x720.mp4
64,,Joel Embiid,Embiid BLOCK (3 BLK),ATL @ PHI,ATL,PHI,"Friday, December 8",4,https://videos.nba.com/nba/pbp/media/2023/12/08/0022301218/609/7f7f9437-f886-d159-7e7b-d28da43857a5_1280x720.mp4
0,,Luka Dončić,MISS Watson 5' Cutting Layup Shot,DAL @ DEN,DAL,DEN,"Friday, November 3",4,https://videos.nba.com/nba/static/missing.mp4
1,,Luka Dončić,MISS Bane 24' 3PT Step Back Jump Shot,DAL @ MEM,DAL,MEM,"Monday, October 30",4,https://videos.nba.com/nba/pbp/media/2023/10/30/0022300106/555/d020fe0f-2e98-a001-9b8e-c4370651a135_1280x720.mp4
2,,Luka Dončić,Doncic BLOCK (1 BLK),CHI @ DAL,CHI,DAL,"Wednesday, November 1",1,https://videos.nba.com/nba/pbp/media/2023/11/01/0022300124/16/565baa7a-81ab-bfd7-18ef-307e75169afe_1280x720.mp4
3,,Luka Dončić,Doncic BLOCK (1 BLK),CHA @ DAL,CHA,DAL,"Sunday, November 5",4,https://videos.nba.com/nba/pbp/media/2023/11/05/0022300143/581/4f065a20-b348-922c-dfd2-73cd5ee68eca_1280x720.mp4
4,,Luka Dončić,Doncic BLOCK (1 BLK),TOR @ DAL,TOR,DAL,"Wednesday, November 8",2,https://videos.nba.com/nba/pbp/media/2023/11/08/0022300168/226/0fbcace4-3a2c-4f83-3576-a0bd7a2ea7b4_1280x720.mp4
5,,Luka Dončić,MISS Theis 4' Layup,DAL @ LAC,DAL,LAC,"Saturday, November 25",3,https://videos.nba.com/nba/pbp/media/2023/11/25/0022300244/477/7c3b49ea-3daa-7283-f33c-f75ddc700646_1280x720.mp4
6,,Luka Dončić,MISS Westbrook 3' Driving Layup,DAL @ LAC,DAL,LAC,"Saturday, November 25",4,https://videos.nba.com/nba/pbp/media/2023/11/25/0022300244/591/eb1960f0-304d-eaed-0612-6f4e20ad314b_1280x720.mp4
7,,Luka Dončić,Doncic BLOCK (1 BLK),OKC @ DAL,OKC,DAL,"Saturday, December 2",2,https://videos.nba.com/nba/pbp/media/2023/12/02/0022300287/380/c88cf708-a045-e86e-054d-5e653343850f_1280x720.mp4
8,,Luka Dončić,Doncic BLOCK (2 BLK),OKC @ DAL,OKC,DAL,"Saturday, December 2",3,https://videos.nba.com/nba/pbp/media/2023/12/02/0022300287/494/8649085c-4710-592d-3bce-16c54718c4a1_1280x720.mp4
9,,Luka Dončić,MISS Aldama 7' Turnaround Jump Shot,DAL @ MEM,DAL,MEM,"Monday, December 11",3,https://videos.nba.com/nba/pbp/media/2023/12/11/0022300299/438/84d44e9b-296d-aa22-5978-682fc016b5d7_1280x720.mp4
10,,Luka Dončić,MISS Williams 7' Running Layup,DAL @ MEM,DAL,MEM,"Monday, December 11",4,https://videos.nba.com/nba/pbp/media/2023/12/11/0022300299/545/d9be361f-b22a-34f0-bfea-7be599b7d395_1280x720.mp4
11,,Luka Dončić,Doncic BLOCK (1 BLK),SAS @ DAL,SAS,DAL,"Saturday, December 23",1,https://videos.nba.com/nba/pbp/media/2023/12/23/0022300398/157/e0bb43a4-7d36-9367-5c36-33420ab24153_1280x720.mp4
12,,Luka Dončić,MISS Metu 2' Hook Shot,DAL @ PHX,DAL,PHX,"Monday, December 25",3,https://videos.nba.com/nba/pbp/media/2023/12/25/0022300405/413/9f931508-bd43-4d2d-651a-3ca1c356115c_1280x720.mp4
13,,Luka Dončić,MISS Goodwin 4' Driving Layup,DAL @ PHX,DAL,PHX,"Monday, December 25",3,https://videos.nba.com/nba/pbp/media/2023/12/25/0022300405/522/d389a65d-6c12-a51b-7537-7c1e11732d86_1280x720.mp4
14,,Luka Dončić,MISS Gordon 3PT Jump Shot,DAL @ PHX,DAL,PHX,"Monday, December 25",4,https://videos.nba.com/nba/pbp/media/2023/12/25/0022300405/671/5a4c9448-11a6-9db2-9822-b5134ceda11d_1280x720.mp4
15,,Luka Dončić,Doncic BLOCK (1 BLK),CLE @ DAL,CLE,DAL,"Wednesday, December 27",2,https://videos.nba.com/nba/pbp/media/2023/12/27/0022300420/318/eed3c453-703d-c40d-c957-30e71242351e_1280x720.mp4
16,,Luka Dončić,Doncic BLOCK (2 BLK),CLE @ DAL,CLE,DAL,"Wednesday, December 27",4,https://videos.nba.com/nba/pbp/media/2023/12/27/0022300420/655/ecd4bb7e-53d5-3143-ac51-b5518124ebcd_1280x720.mp4
17,,Luka Dončić,MISS Wiggins 8' Turnaround Jump Shot,DAL @ GSW,DAL,GSW,"Saturday, December 30",3,https://videos.nba.com/nba/pbp/media/2023/12/30/0022300444/416/73c7b041-a024-767c-81ba-4f40936f7d36_1280x720.mp4
18,,Luka Dončić,MISS Prince 10' Driving Layup,DAL @ LAL,DAL,LAL,"Wednesday, January 17",1,https://videos.nba.com/nba/pbp/media/2024/01/17/0022300577/34/f0b251be-0cd8-0d83-41d3-8c6cdfbb61a6_1280x720.mp4
19,,Luka Dončić,MISS Prince 26' 3PT Pullup Jump Shot,DAL @ LAL,DAL,LAL,"Wednesday, January 17",2,https://videos.nba.com/nba/pbp/media/2024/01/17/0022300577/256/d7d923bb-89e3-aa83-f0cd-6cc2a2fddf19_1280x720.mp4
20,,Luka Dončić,Doncic BLOCK (1 BLK),PHX @ DAL,PHX,DAL,"Wednesday, January 24",2,https://videos.nba.com/nba/pbp/media/2024/01/24/0022300625/196/735fc867-e5da-b21c-50b5-5cd75c16191b_1280x720.mp4
21,,Luka Dončić,Doncic BLOCK (2 BLK),PHX @ DAL,PHX,DAL,"Wednesday, January 24",2,https://videos.nba.com/nba/pbp/media/2024/01/24/0022300625/338/e7c25543-6b84-c022-2ef7-288e63d07b14_1280x720.mp4
22,,Luka Dončić,Doncic BLOCK (1 BLK),SAC @ DAL,SAC,DAL,"Saturday, January 27",1,https://videos.nba.com/nba/pbp/media/2024/01/27/0022300651/18/c3456b4f-5074-c3e0-7209-a270ebc908b2_1280x720.mp4
23,,Luka Dončić,MISS Thomas 6' Pullup Jump Shot,DAL @ BKN,DAL,BKN,"Tuesday, February 6",1,https://videos.nba.com/nba/pbp/media/2024/02/06/0022300720/56/c34ced07-538e-66b6-0dcc-bd84b19448f9_1280x720.mp4
24,,Luka Dončić,MISS Hart 1' Running Layup,DAL @ NYK,DAL,NYK,"Thursday, February 8",4,https://videos.nba.com/nba/pbp/media/2024/02/08/0022300736/562/f1de5e04-56f0-9405-a739-e0519df447dc_1280x720.mp4
25,,Luka Dončić,Doncic BLOCK (1 BLK),WAS @ DAL,WAS,DAL,"Monday, February 12",1,https://videos.nba.com/nba/pbp/media/2024/02/12/0022300768/127/45dc7976-7cfd-f613-95fd-7b77e37f4dc4_1280x720.mp4
26,,Luka Dončić,Doncic BLOCK (2 BLK),WAS @ DAL,WAS,DAL,"Monday, February 12",2,https://videos.nba.com/nba/pbp/media/2024/02/12/0022300768/243/5a366cc1-4e13-d9e1-1981-f9bbdb27b90e_1280x720.mp4
27,,Luka Dončić,Doncic BLOCK (1 BLK),SAS @ DAL,SAS,DAL,"Wednesday, February 14",3,https://videos.nba.com/nba/pbp/media/2024/02/14/0022300785/398/58103e3e-12ae-77c7-50d8-165ce18ba037_1280x720.mp4
28,,Luka Dončić,MISS Mathurin 4' Layup,DAL @ IND,DAL,IND,"Sunday, February 25",2,https://videos.nba.com/nba/pbp/media/2024/02/25/0022300819/318/0ff1d90a-d90f-a5f8-563c-82700259ddba_1280x720.mp4
29,,Luka Dončić,MISS Nembhard 3' Putback Layup,DAL @ IND,DAL,IND,"Sunday, February 25",2,https://videos.nba.com/nba/pbp/media/2024/02/25/0022300819/330/e2137311-2d7b-6365-c715-f0ac55c43041_1280x720.mp4
30,,Luka Dončić,MISS Stewart 8' Layup,DAL @ DET,DAL,DET,"Saturday, March 9",3,https://videos.nba.com/nba/pbp/media/2024/03/09/0022300919/464/e0d4ec63-efaa-e2ad-7c7a-414830aa5a20_1280x720.mp4
31,,Luka Dončić,MISS Duren 5' Layup,DAL @ DET,DAL,DET,"Saturday, March 9",4,https://videos.nba.com/nba/pbp/media/2024/03/09/0022300919/620/a4d59353-576d-ac78-9056-bebad9312975_1280x720.mp4
32,,Luka Dončić,MISS Collins 4' Putback Layup,DAL @ UTA,DAL,UTA,"Monday, March 25",3,https://videos.nba.com/nba/pbp/media/2024/03/25/0022301041/568/b6e53528-63a6-27a5-921d-b0e59d1614c8_1280x720.mp4
33,,Luka Dončić,Doncic BLOCK (1 BLK),ATL @ DAL,ATL,DAL,"Thursday, April 4",4,https://videos.nba.com/nba/pbp/media/2024/04/04/0022301124/585/34cc5900-dfc1-9aab-5ee7-1e4f2aa0e628_1280x720.mp4
34,,Luka Dončić,Doncic BLOCK (1 BLK),HOU @ DAL,HOU,DAL,"Sunday, April 7",3,https://videos.nba.com/nba/pbp/media/2024/04/07/0022301131/492/f364542a-f13b-0009-771d-8f6227be47cf_1280x720.mp4
35,,Luka Dončić,Doncic BLOCK (2 BLK),HOU @ DAL,HOU,DAL,"Sunday, April 7",5,https://videos.nba.com/nba/pbp/media/2024/04/07/0022301131/815/f5dd9f75-0271-1992-4bdd-a3b4f93929d6_1280x720.mp4
36,,Luka Dončić,MISS Miller 12' Pullup Jump Shot,DAL @ CHA,DAL,CHA,"Tuesday, April 9",1,https://videos.nba.com/nba/pbp/media/2024/04/09/0022301144/58/597b786c-96d0-ad6f-8c29-63e28edb99a0_1280x720.mp4
37,,Joel Embiid,Embiid BLOCK (1 BLK),CHI @ PHI,CHI,PHI,"Monday, December 18",1,https://videos.nba.com/nba/pbp/media/2023/12/18/0022300351/13/254c2588-e8ea-4d94-d04a-e8e2628a416a_1280x720.mp4
38,,Joel Embiid,Embiid BLOCK (2 BLK),CHI @ PHI,CHI,PHI,"Monday, December 18",3,https://videos.nba.com/nba/pbp/media/2023/12/18/0022300351/321/21c66e61-27e1-7665-ec32-f909ea5300f1_1280x720.mp4
39,,Joel Embiid,Embiid BLOCK (1 BLK),MIN @ PHI,MIN,PHI,"Wednesday, December 20",1,https://videos.nba.com/nba/pbp/media/2023/12/20/0022300367/74/f817ffc3-afad-c641-0c0e-8d0ddb816041_1280x720.mp4
40,,Joel Embiid,Embiid BLOCK (1 BLK),TOR @ PHI,TOR,PHI,"Friday, December 22",1,https://videos.nba.com/nba/pbp/media/2023/12/22/0022300382/31/4451b368-7bd6-315b-0075-e396776a06b4_1280x720.mp4
41,,Joel Embiid,Embiid BLOCK (2 BLK),TOR @ PHI,TOR,PHI,"Friday, December 22",2,https://videos.nba.com/nba/pbp/media/2023/12/22/0022300382/304/5228a794-9d3f-f9e9-f00b-f4768cd2f4a3_1280x720.mp4
42,,Joel Embiid,Embiid BLOCK (3 BLK),TOR @ PHI,TOR,PHI,"Friday, December 22",2,https://videos.nba.com/nba/pbp/media/2023/12/22/0022300382/317/a8ac1ebe-f987-2f2f-5dac-20a28e44b0c1_1280x720.mp4
43,,Joel Embiid,Embiid BLOCK (4 BLK),TOR @ PHI,TOR,PHI,"Friday, December 22",3,https://videos.nba.com/nba/pbp/media/2023/12/22/0022300382/512/9545f971-ce16-6e4e-8c52-5247c32566dd_1280x720.mp4
44,,Joel Embiid,Embiid BLOCK (1 BLK),CHI @ PHI,CHI,PHI,"Tuesday, January 2",1,https://videos.nba.com/nba/pbp/media/2024/01/02/0022300459/7/435c83f7-58a7-0c11-32a7-80fa2ed61c26_1280x720.mp4
45,,Joel Embiid,Embiid BLOCK (2 BLK),CHI @ PHI,CHI,PHI,"Tuesday, January 2",3,https://videos.nba.com/nba/pbp/media/2024/01/02/0022300459/480/f5680b87-7525-4449-2076-eb143137b838_1280x720.mp4
