PLAY ID,SEASON,PLAYER ID,PLAYER NAME,REBOUND TYPE,PLAY DESCRIPTION,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link,DOWNLOADED
hoop_cut_22,2014-15,157,Wayne Ellington,DREB,Ellington REBOUND (Off:3 Def:7),LAL @ UTA,LAL,UTA,"Wednesday, February 25",4,https://videos.nba.com/nba/pbp/media/2015/02/25/0021400851/433/d2ecb7ef-7267-a496-ddae-f72a112c723f_1280x720.mp4,False
hoop_cut_23,2014-15,60,Brandon Jennings,DREB,Jennings REBOUND (Off:0 Def:2),DET @ ATL,DET,ATL,"Monday, January 19",3,https://videos.nba.com/nba/pbp/media/2015/01/19/0021400613/276/09e64f05-056f-7f52-ccb9-ba6479414c78_1280x720.mp4,False
hoop_cut_24,2014-15,105,Gerald Henderson,DREB,Henderson REBOUND (Off:0 Def:2),CHA @ IND,CHA,IND,"Friday, April 3",1,https://videos.nba.com/nba/pbp/media/2015/04/03/0021401127/42/33ddf070-1f87-f799-fa39-e1886649a7a7_1280x720.mp4,False
hoop_cut_25,2014-15,9,LaMarcus Aldridge,DREB,Aldridge REBOUND (Off:0 Def:3),PHX @ POR,PHX,POR,"Thursday, February 5",1,https://videos.nba.com/nba/pbp/media/2015/02/03/0021400729/255/ca5c33e2-e5bd-4594-927d-d5a62cb93285_1280x720.mp4,False
hoop_cut_26,2015-16,78,Zach LaVine,DREB,LaVine REBOUND (Off:1 Def:2),UTA @ MIN,UTA,MIN,"Wednesday, December 30",2,https://videos.nba.com/nba/pbp/media/2015/12/30/0021500479/225/e7a9f2b5-6621-c35a-e6a3-f031950669bf_1280x720.mp4,False
hoop_cut_27,2015-16,50,Andre Drummond,DREB,Drummond REBOUND (Off:0 Def:2),DET @ CHI,DET,CHI,"Saturday, April 2",1,https://videos.nba.com/nba/pbp/media/2016/04/02/0021501139/58/8063b915-9590-6bdf-15ec-85f9f409333e_1280x720.mp4,False
hoop_cut_28,2015-16,53,Jeff Teague,DREB,Teague REBOUND (Off:0 Def:1),ATL @ CHA,ATL,CHA,"Wednesday, January 13",1,https://videos.nba.com/nba/pbp/media/2016/01/13/0021500577/24/71083072-6788-96e2-349c-c4ae687659e8_1280x720.mp4,False
hoop_cut_29,2015-16,30,Dwyane Wade,DREB,Wade REBOUND (Off:0 Def:3),MIA @ IND,MIA,IND,"Friday, December 11",4,https://videos.nba.com/nba/pbp/media/2015/12/11/0021500333/401/0d650821-d4b0-3955-253e-3c95fd7c66a5_1280x720.mp4,False
hoop_cut_30,2015-16,39,Bradley Beal,DREB,Beal REBOUND (Off:0 Def:4),WAS @ LAL,WAS,LAL,"Sunday, March 27",3,https://videos.nba.com/nba/pbp/media/2016/03/27/0021501096/280/d92f1aaa-15ee-d758-219d-1cd2ac19f552_1280x720.mp4,False
hoop_cut_31,2015-16,76,Deron Williams,DREB,D. Williams REBOUND (Off:0 Def:2),BKN @ DAL,BKN,DAL,"Friday, January 29",2,https://videos.nba.com/nba/pbp/media/2016/01/29/0021500702/209/51cbfcc6-121f-57c8-123d-aa739e8c1729_1280x720.mp4,False
hoop_cut_32,2015-16,35,Khris Middleton,DREB,Middleton REBOUND (Off:0 Def:6),MIL @ UTA,MIL,UTA,"Friday, February 5",4,https://videos.nba.com/nba/pbp/media/2016/02/05/0021500758/381/99c429a2-5b31-0227-6a5b-f9dc49aae9ed_1280x720.mp4,False
hoop_cut_33,2015-16,71,Hassan Whiteside,DREB,Whiteside REBOUND (Off:0 Def:1),WAS @ MIA,WAS,MIA,"Monday, December 7",1,https://videos.nba.com/nba/pbp/media/2015/12/07/0021500306/32/896fe950-0c88-daff-8ce6-8d7359ff18b5_1280x720.mp4,False
hoop_cut_34,2015-16,67,Rodney Hood,DREB,Hood REBOUND (Off:0 Def:3),PHX @ UTA,PHX,UTA,"Thursday, March 17",3,https://videos.nba.com/nba/pbp/media/2016/03/17/0021501019/354/a7f9f3f0-3e4b-1be8-0888-7386bac332ad_1280x720.mp4,False
hoop_cut_35,2015-16,34,Nikola Vučević,DREB,Vucevic REBOUND (Off:5 Def:4),ORL @ BKN,ORL,BKN,"Friday, January 8",3,https://videos.nba.com/nba/pbp/media/2016/01/08/0021500541/330/355071be-b352-8b87-7700-a3f3c880ecb7_1280x720.mp4,False
hoop_cut_36,2015-16,10,Paul George,DREB,George REBOUND (Off:0 Def:1),CHI @ IND,CHI,IND,"Friday, November 27",1,https://videos.nba.com/nba/pbp/media/2015/11/27/0021500231/49/63c0160b-d4b3-2cc1-e25d-9bf46ea113d5_1280x720.mp4,False
hoop_cut_37,2015-16,43,Giannis Antetokounmpo,DREB,Antetokounmpo REBOUND (Off:0 Def:4),MIL @ IND,MIL,IND,"Saturday, November 21",2,https://videos.nba.com/nba/pbp/media/2015/11/21/0021500190/282/fc87b706-bf44-23fa-91da-904f99b2da16_1280x720.mp4,False
hoop_cut_38,2015-16,64,Thaddeus Young,DREB,Young REBOUND (Off:2 Def:8),BKN @ BOS,BKN,BOS,"Friday, November 20",3,https://videos.nba.com/nba/pbp/media/2015/11/20/0021500179/348/9375f351-2afe-044d-6d12-c7aaafe03b75_1280x720.mp4,False
hoop_cut_39,2015-16,80,Draymond Green,DREB,Green REBOUND (Off:0 Def:5),GSW @ LAL,GSW,LAL,"Tuesday, January 5",2,https://videos.nba.com/nba/pbp/media/2016/01/05/0021500524/202/15769760-c089-81a7-9ce7-6b9d6f728a0c_1280x720.mp4,False
hoop_cut_40,2015-16,70,Kristaps Porziņģis,DREB,Porzingis REBOUND (Off:0 Def:3),NYK @ SAC,NYK,SAC,"Thursday, December 10",1,https://videos.nba.com/nba/pbp/media/2015/12/10/0021500332/30/1ed1d6a7-16e7-cbb7-8336-6ee7f5c1dcb5_1280x720.mp4,False
hoop_cut_41,2015-16,59,Zach Randolph,DREB,Randolph REBOUND (Off:2 Def:2),MEM @ DAL,MEM,DAL,"Friday, December 18",2,https://videos.nba.com/nba/pbp/media/2015/12/18/0021500394/168/62c3f1a5-935c-08f7-c9d0-ca07694b8b7b_1280x720.mp4,False
hoop_cut_42,2015-16,77,Jabari Parker,DREB,Parker REBOUND (Off:2 Def:4),MIL @ PHX,MIL,PHX,"Sunday, December 20",4,https://videos.nba.com/nba/pbp/media/2015/12/20/0021500406/472/071c09d7-2ab9-74e7-ceb0-06e63ca1d88e_1280x720.mp4,False
hoop_cut_43,2015-16,61,Al Horford,DREB,Horford REBOUND (Off:0 Def:8),ATL @ WAS,ATL,WAS,"Wednesday, April 13",4,https://videos.nba.com/nba/pbp/media/2016/04/13/0021501221/564/a82b892a-483b-fe34-2edb-9706e1f165cd_1280x720.mp4,False
hoop_cut_44,2015-16,38,Jahlil Okafor,DREB,Okafor REBOUND (Off:2 Def:6),CHI @ PHI,CHI,PHI,"Monday, November 9",2,https://videos.nba.com/nba/pbp/media/2015/11/09/0021500100/174/17707119-d171-783a-7248-0b28a66bfcf1_1280x720.mp4,False
hoop_cut_45,2015-16,15,Kyle Lowry,DREB,Lowry REBOUND (Off:0 Def:2),NOP @ TOR,NOP,TOR,"Friday, November 13",1,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500009/164/5dcdb6c4-0294-f72e-96c3-57813bd0c00f_1280x720.mp4,False
hoop_cut_46,2015-16,32,Karl-Anthony Towns,DREB,Towns REBOUND (Off:0 Def:4),HOU @ MIN,HOU,MIN,"Monday, April 11",2,https://videos.nba.com/nba/pbp/media/2016/04/11/0021501207/231/e0ec50de-30d3-043e-1aaa-f26993fb4ca2_1280x720.mp4,False
hoop_cut_47,2015-16,30,Dwyane Wade,DREB,Wade REBOUND (Off:0 Def:1),CHI @ MIA,CHI,MIA,"Thursday, April 7",1,https://videos.nba.com/nba/pbp/media/2016/04/07/0021501174/44/4cc933c3-3438-89e6-8dc0-894e41ad97db_1280x720.mp4,False
hoop_cut_48,2015-16,80,Draymond Green,DREB,Green REBOUND (Off:0 Def:5),PHI @ GSW,PHI,GSW,"Sunday, March 27",3,https://videos.nba.com/nba/pbp/media/2016/03/27/0021501094/271/2632f7bb-102f-0de1-77e0-1a82aa9acf1f_1280x720.mp4,False
hoop_cut_49,2015-16,7,Anthony Davis,DREB,Davis REBOUND (Off:0 Def:10),SAS @ NOP,SAS,NOP,"Friday, November 20",2,https://videos.nba.com/nba/pbp/media/2015/11/20/0021500182/280/b4b8547c-ea02-8b7a-89e6-0ee26fea4ede_1280x720.mp4,False
hoop_cut_50,2015-16,47,Derrick Favors,DREB,Favors REBOUND (Off:0 Def:3),DEN @ UTA,DEN,UTA,"Wednesday, February 3",2,https://videos.nba.com/nba/pbp/media/2016/02/03/0021500743/115/3e0ebf60-6799-1256-5477-200b09d8c5ff_1280x720.mp4,False
hoop_cut_51,2016-17,23,Kyle Lowry,DREB,Lowry REBOUND (Off:0 Def:4),CHA @ TOR,CHA,TOR,"Wednesday, February 15",4,https://videos.nba.com/nba/pbp/media/2017/02/15/0021600837/354/2528d63a-c6bf-1adc-e52d-1ade44c48aa2_1280x720.mp4,False
hoop_cut_52,2016-17,4,Anthony Davis,DREB,Davis REBOUND (Off:1 Def:1),LAC @ NOP,LAC,NOP,"Friday, December 2",1,https://videos.nba.com/nba/pbp/media/2016/12/02/0021600287/290/9962da3a-2ce8-413c-f022-f70b2ba751c9_1280x720.mp4,False
hoop_cut_53,2016-17,38,Rudy Gay,DREB,Gay REBOUND (Off:2 Def:6),SAC @ NYK,SAC,NYK,"Sunday, December 4",4,https://videos.nba.com/nba/pbp/media/2016/12/04/0021600302/545/53e6a338-9727-cb72-2e42-ce9e1b914ff0_1280x720.mp4,False
hoop_cut_54,2016-17,32,Joel Embiid,DREB,Embiid REBOUND (Off:2 Def:6),BKN @ PHI,BKN,PHI,"Sunday, December 18",4,https://videos.nba.com/nba/pbp/media/2016/12/18/0021600408/438/3ab8d67e-73fe-1467-7d3a-39728d74d672_1280x720.mp4,False
hoop_cut_55,2016-17,35,Harrison Barnes,DREB,Barnes REBOUND (Off:2 Def:4),CLE @ DAL,CLE,DAL,"Monday, January 30",3,https://videos.nba.com/nba/pbp/media/2017/01/30/0021600722/298/8dfd3d56-f988-7275-0847-9a84d2f46704_1280x720.mp4,False
hoop_cut_56,2016-17,42,Chris Paul,DREB,Paul REBOUND (Off:0 Def:6),DEN @ LAC,DEN,LAC,"Tuesday, December 20",3,https://videos.nba.com/nba/pbp/media/2016/12/20/0021600426/260/bad78363-eb9b-8b38-c1f0-a8dd3706640e_1280x720.mp4,False
hoop_cut_57,2016-17,12,Karl-Anthony Towns,DREB,Towns REBOUND (Off:1 Def:6),MIN @ CLE,MIN,CLE,"Wednesday, February 1",3,https://videos.nba.com/nba/pbp/media/2017/02/01/0021600731/41/41a052d0-ff3f-7791-3c07-423c11a952da_1280x720.mp4,False
hoop_cut_58,2016-17,39,Dwyane Wade,DREB,Wade REBOUND (Off:1 Def:4),PHI @ CHI,PHI,CHI,"Sunday, January 29",4,https://videos.nba.com/nba/pbp/media/2017/01/29/0021600716/479/b92e6f6d-aa36-3f0f-cc92-46b7c0849876_1280x720.mp4,False
hoop_cut_59,2016-17,17,Kemba Walker,DREB,Walker REBOUND (Off:0 Def:1),MIN @ CHA,MIN,CHA,"Saturday, December 3",1,https://videos.nba.com/nba/pbp/media/2016/10/29/0021600027/58/8798647b-5676-edc8-6dd5-e28a4f333335_1280x720.mp4,False
hoop_cut_60,2016-17,33,Jabari Parker,DREB,Parker REBOUND (Off:0 Def:1),CHI @ MIL,CHI,MIL,"Thursday, December 15",1,https://videos.nba.com/nba/pbp/media/2016/12/12/0021600362/243/c0bc3386-8015-1eca-0b42-f1507179a56c_1280x720.mp4,False
hoop_cut_61,2016-17,21,Giannis Antetokounmpo,DREB,Antetokounmpo REBOUND (Off:0 Def:3),TOR @ MIL,TOR,MIL,"Saturday, March 4",2,https://videos.nba.com/nba/pbp/media/2017/03/03/0021600912/306/3ee4706e-52e4-74e3-da87-dd3d840ba973_1280x720.mp4,False
hoop_cut_62,2016-17,53,Eric Gordon,DREB,Gordon REBOUND (Off:0 Def:3),HOU @ DEN,HOU,DEN,"Saturday, March 18",4,https://videos.nba.com/nba/pbp/media/2017/03/18/0021601034/577/c2767f2b-a14f-85cb-e67a-6a368d9d25d4_1280x720.mp4,False
hoop_cut_63,2016-17,22,Carmelo Anthony,DREB,Anthony REBOUND (Off:0 Def:4),IND @ NYK,IND,NYK,"Tuesday, March 14",1,https://videos.nba.com/nba/pbp/media/2017/03/12/0021600986/469/fc883978-46f8-ecfe-20b4-03ed05347354_1280x720.mp4,False
hoop_cut_64,2016-17,31,Goran Dragic,DREB,Dragic REBOUND (Off:0 Def:1),ATL @ MIA,ATL,MIA,"Wednesday, February 1",1,https://videos.nba.com/nba/pbp/media/2017/02/01/0021600734/14/deb4f532-ce2c-200d-42f6-ffaf2519574f_1280x720.mp4,False
hoop_cut_65,2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:3 Def:2),OKC @ LAL,OKC,LAL,"Tuesday, November 22",3,https://videos.nba.com/nba/pbp/media/2016/11/22/0021600211/280/f57dbdff-1e16-1776-65bd-555cc09eaf42_1280x720.mp4,False
hoop_cut_66,2016-17,18,John Wall,DREB,Wall REBOUND (Off:0 Def:1),WAS @ LAL,WAS,LAL,"Tuesday, March 28",1,https://videos.nba.com/nba/pbp/media/2017/03/28/0021601110/5/72240628-4229-265f-220d-21d1aceac0ad_1280x720.mp4,False
hoop_cut_67,2016-17,38,Rudy Gay,DREB,Gay REBOUND (Off:0 Def:1),NOP @ SAC,NOP,SAC,"Tuesday, November 8",1,https://videos.nba.com/nba/pbp/media/2016/11/08/0021600105/50/705bc990-75af-d13f-7c98-06b4fe305cc0_1280x720.mp4,False
hoop_cut_68,2016-17,24,Klay Thompson,DREB,Thompson REBOUND (Off:0 Def:1),GSW @ BKN,GSW,BKN,"Thursday, December 22",2,https://videos.nba.com/nba/pbp/media/2016/12/22/0021600437/202/180905e5-fbd7-4c6c-eb3f-a5132492a44f_1280x720.mp4,False
hoop_cut_69,2016-17,49,Hassan Whiteside,DREB,Whiteside REBOUND (Off:1 Def:4),CHI @ MIA,CHI,MIA,"Thursday, November 10",1,https://videos.nba.com/nba/pbp/media/2016/11/10/0021600118/70/a8980222-3e5d-f047-38c1-59b499b71daa_1280x720.mp4,False
hoop_cut_70,2016-17,12,Karl-Anthony Towns,DREB,Towns REBOUND (Off:0 Def:3),MIN @ PHX,MIN,PHX,"Tuesday, January 24",2,https://videos.nba.com/nba/pbp/media/2017/01/22/0021600664/245/5f51e473-024c-6cbb-d2fe-b1b67a854a6c_1280x720.mp4,False
hoop_cut_71,2016-17,4,Anthony Davis,DREB,Davis REBOUND (Off:0 Def:1),NOP @ WAS,NOP,WAS,"Saturday, February 4",1,https://videos.nba.com/nba/pbp/media/2017/01/31/0021600725/428/74fd7e66-c827-6cc5-2ba5-9455611d9f02_1280x720.mp4,False
hoop_cut_72,2016-17,12,Karl-Anthony Towns,DREB,Towns REBOUND (Off:1 Def:3),MEM @ MIN,MEM,MIN,"Tuesday, November 1",1,https://videos.nba.com/nba/pbp/media/2016/11/01/0021600052/98/f9aabcf8-33e5-7824-025e-9f43ccabb9f5_1280x720.mp4,False
hoop_cut_73,2016-17,14,Jimmy Butler III,DREB,Butler REBOUND (Off:0 Def:9),CHI @ PHI,CHI,PHI,"Thursday, April 6",4,https://videos.nba.com/nba/pbp/media/2017/04/06/0021601173/494/9f047f85-4bff-ee4f-8df5-a897d51b9aca_1280x720.mp4,False
hoop_cut_74,2016-17,22,Carmelo Anthony,DREB,Anthony REBOUND (Off:0 Def:2),NYK @ CLE,NYK,CLE,"Thursday, February 23",1,https://videos.nba.com/nba/pbp/media/2017/02/10/0021600800/449/6fb01f5e-bb80-ce15-d912-2919bb587adb_1280x720.mp4,False
hoop_cut_75,2016-17,29,Brook Lopez,DREB,Lopez REBOUND (Off:0 Def:2),ORL @ BKN,ORL,BKN,"Saturday, April 1",1,https://videos.nba.com/nba/pbp/media/2017/04/01/0021601139/80/ac1db3d9-697a-70df-1274-c8eee9aacd83_1280x720.mp4,False
hoop_cut_76,2017-18,10,Devin Booker,DREB,Booker REBOUND (Off:0 Def:4),PHX @ SAS,PHX,SAS,"Friday, January 5",2,https://videos.nba.com/nba/pbp/media/2018/01/05/0021700573/168/f1edab1a-84fd-4e7c-8b85-98989d6e47a3_1280x720.mp4,False
hoop_cut_77,2017-18,13,Victor Oladipo,DREB,Oladipo REBOUND (Off:0 Def:2),DET @ IND,DET,IND,"Friday, December 15",1,https://videos.nba.com/nba/pbp/media/2017/12/15/0021700419/72/a976b3d6-461b-a3d4-04a7-5c49eb6484d3_1280x720.mp4,False
hoop_cut_78,2017-18,23,CJ McCollum,DREB,McCollum REBOUND (Off:0 Def:1),POR @ OKC,POR,OKC,"Sunday, March 25",1,https://videos.nba.com/nba/pbp/media/2018/03/25/0021701100/36/0012ab19-b8ee-2580-4c06-97adc4aee121_1280x720.mp4,False
hoop_cut_79,2017-18,25,Donovan Mitchell,DREB,Mitchell REBOUND (Off:0 Def:7),UTA @ DEN,UTA,DEN,"Friday, January 5",4,https://videos.nba.com/nba/pbp/media/2018/01/05/0021700574/541/302ec714-5bbc-1cb7-b21a-a750cd043dd9_1280x720.mp4,False
hoop_cut_80,2017-18,12,LaMarcus Aldridge,DREB,Aldridge REBOUND (Off:4 Def:7),SAC @ SAS,SAC,SAS,"Monday, April 9",4,https://videos.nba.com/nba/pbp/media/2018/04/09/0021701210/524/fc5593ce-edad-1155-6293-2483607f57e8_1280x720.mp4,False
hoop_cut_81,2017-18,21,Paul George,DREB,George REBOUND (Off:0 Def:2),DEN @ OKC,DEN,OKC,"Monday, December 18",2,https://videos.nba.com/nba/pbp/media/2017/12/18/0021700447/266/333ce7fc-4e3d-d21b-c008-c9932e58ea64_1280x720.mp4,False
hoop_cut_82,2017-18,15,Joel Embiid,DREB,Embiid REBOUND (Off:2 Def:7),PHI @ LAC,PHI,LAC,"Monday, November 13",3,https://videos.nba.com/nba/pbp/media/2017/11/13/0021700200/376/a5234958-521e-f2a3-cda0-5ac98f68d979_1280x720.mp4,False
hoop_cut_83,2017-18,20,Kemba Walker,DREB,Walker REBOUND (Off:0 Def:2),ATL @ CHA,ATL,CHA,"Friday, October 20",3,https://videos.nba.com/nba/pbp/media/2017/10/20/0021700017/428/de239a60-40b2-f44f-c266-ece27a28a766_1280x720.mp4,False
hoop_cut_84,2017-18,14,DeMar DeRozan,DREB,DeRozan REBOUND (Off:3 Def:3),HOU @ TOR,HOU,TOR,"Friday, March 9",3,https://videos.nba.com/nba/pbp/media/2018/03/09/0021700979/345/4e04ae28-a8cf-cc14-5766-40da350fcd54_1280x720.mp4,False
hoop_cut_85,2017-18,38,Eric Gordon,DREB,Gordon REBOUND (Off:0 Def:5),HOU @ OKC,HOU,OKC,"Tuesday, March 6",4,https://videos.nba.com/nba/pbp/media/2018/03/06/0021700960/431/ee777662-9078-2b5a-e6b1-ae02b4de4b34_1280x720.mp4,False
hoop_cut_86,2017-18,2,Anthony Davis,DREB,Davis REBOUND (Off:0 Def:8),NOP @ DAL,NOP,DAL,"Sunday, March 4",3,https://videos.nba.com/nba/pbp/media/2018/03/04/0021700946/398/5e1675b9-8fb8-a65a-af05-97be07f12bcd_1280x720.mp4,False
hoop_cut_87,2017-18,37,Nikola Jokić,DREB,Jokic REBOUND (Off:0 Def:6),DEN @ SAC,DEN,SAC,"Saturday, January 6",4,https://videos.nba.com/nba/pbp/media/2018/01/06/0021700585/570/e05b9874-0d22-4be3-3b95-4cff349208b4_1280x720.mp4,False
hoop_cut_88,2017-18,2,Anthony Davis,DREB,Davis REBOUND (Off:2 Def:10),MEM @ NOP,MEM,NOP,"Saturday, January 20",4,https://videos.nba.com/nba/pbp/media/2018/01/20/0021700677/567/17a02b5b-f807-e85e-4ead-94a9a5e88109_1280x720.mp4,False
hoop_cut_89,2017-18,11,Kyrie Irving,DREB,Irving REBOUND (Off:1 Def:3),CHA @ BOS,CHA,BOS,"Wednesday, February 28",2,https://videos.nba.com/nba/pbp/media/2018/02/28/0021700916/273/d5b5b7c8-4bbd-a002-f8f1-ba85a42cda3e_1280x720.mp4,False
hoop_cut_90,2017-18,3,LeBron James,DREB,James REBOUND (Off:1 Def:6),NOP @ CLE,NOP,CLE,"Friday, March 30",4,https://videos.nba.com/nba/pbp/media/2018/03/30/0021701131/483/9f996ef3-0ba8-b007-1598-44bf866b4dbc_1280x720.mp4,False
hoop_cut_91,2017-18,21,Paul George,DREB,George REBOUND (Off:1 Def:5),OKC @ DEN,OKC,DEN,"Thursday, November 9",3,https://videos.nba.com/nba/pbp/media/2017/11/09/0021700168/378/fa02863f-f646-770e-17cc-15366e366f38_1280x720.mp4,False
hoop_cut_92,2017-18,33,Jrue Holiday,DREB,Holiday REBOUND (Off:0 Def:2),UTA @ NOP,UTA,NOP,"Sunday, March 11",1,https://videos.nba.com/nba/pbp/media/2018/03/11/0021700995/139/14b64f94-9ecf-7245-ec3c-274c2d250746_1280x720.mp4,False
hoop_cut_93,2017-18,3,LeBron James,DREB,James REBOUND (Off:2 Def:5),PHI @ CLE,PHI,CLE,"Saturday, December 9",4,https://videos.nba.com/nba/pbp/media/2017/12/09/0021700379/507/9efe8778-c7ea-7e6d-7b4a-f7f92459998b_1280x720.mp4,False
